Sales Report
Generated: 2025-08-25T01:45:44.154366+00:00
Date Range: 2025-06-01T05:00:00+00:00 to 2025-06-30T05:00:00+00:00

Sales Summary
Metric,Value
Total Revenue,"$10,969.99"
Total Orders,463
Average Order Value,$0.00

Daily Sales Trends
Date,Revenue,Orders,AOV
